State Name,State Code,Indicator Name,Value
Alabama,AL,Shield Law,FALSE
Alabama,AL,Gender Marker on ID (adult),0
Alabama,AL,Gender Marker options on ID,FALSE
Alabama,AL,Gender Marker on Birth Certificate (adult),-1
Alabama,AL,Gender Marker options on Birth Certificate,FALSE
Alabama,AL,Name Change (adult),1
Alabama,AL,Non Discrimination,-1
Alabama,AL,Foster Care Non Discrimination,FALSE
Alabama,AL,Adoption Nondiscrimination,FALSE
Alabama,AL,Recognition of assisted Reproduction,FALSE
Alabama,AL,VAP for Non-Genetic LGBTQ Parents,FALSE
Alabama,AL,Gender Inclusive Bathroom Laws (Adult),FALSE
Alabama,AL,Gay/ Trans Panic Defense Ban,FALSE
Alabama,AL,Hate Crime Laws Specific to Gender Identity,FALSE
Alabama,AL,Jury Service Nondiscrimination Based on Gender Identity,FALSE
Alabama,AL,Gender Inclusive Correctional Housing ,FALSE
Alabama,AL,Gender Affirming Care in Correctional Facilities,FALSE
Alabama,AL,Trans Bathroom Ban in Schools and Government Buildings,0
Alabama,AL,State Defines Sex,0
Alabama,AL,Broad ‘RFRA’,-1
Alabama,AL,Religious Exemption for Medical Professionals,-1
Alabama,AL,Marriage Services and/or Marriage License Denial,0
Alabama,AL,Drag Ban,0
Alabama,AL,Barriers to Identity Documents,0
Alabama,AL,Abortion Access,-1
Alabama,AL,Interstate Abortion Shield Law,FALSE
Alaska,AK,Shield Law,FALSE
Alaska,AK,Gender Marker on ID (adult),0.5
Alaska,AK,Gender Marker options on ID,FALSE
Alaska,AK,Gender Marker on Birth Certificate (adult),0.5
Alaska,AK,Gender Marker options on Birth Certificate,FALSE
Alaska,AK,Name Change (adult),0
Alaska,AK,Non Discrimination,0.5
Alaska,AK,Foster Care Non Discrimination,FALSE
Alaska,AK,Adoption Nondiscrimination,FALSE
Alaska,AK,Recognition of assisted Reproduction,FALSE
Alaska,AK,VAP for Non-Genetic LGBTQ Parents,FALSE
Alaska,AK,Gender Inclusive Bathroom Laws (Adult),FALSE
Alaska,AK,Gay/ Trans Panic Defense Ban,FALSE
Alaska,AK,Hate Crime Laws Specific to Gender Identity,FALSE
Alaska,AK,Jury Service Nondiscrimination Based on Gender Identity,FALSE
Alaska,AK,Gender Inclusive Correctional Housing ,FALSE
Alaska,AK,Gender Affirming Care in Correctional Facilities,FALSE
Alaska,AK,Trans Bathroom Ban in Schools and Government Buildings,0
Alaska,AK,State Defines Sex,0
Alaska,AK,Broad ‘RFRA’,0
Alaska,AK,Religious Exemption for Medical Professionals,0
Alaska,AK,Marriage Services and/or Marriage License Denial,0
Alaska,AK,Drag Ban,0
Alaska,AK,Barriers to Identity Documents,0
Alaska,AK,Abortion Access,0.5
Alaska,AK,Interstate Abortion Shield Law,FALSE
Arizona,AZ,Shield Law,TRUE
Arizona,AZ,Gender Marker on ID (adult),0
Arizona,AZ,Gender Marker options on ID,FALSE
Arizona,AZ,Gender Marker on Birth Certificate (adult),-1
Arizona,AZ,Gender Marker options on Birth Certificate,FALSE
Arizona,AZ,Name Change (adult),0.5
Arizona,AZ,Non Discrimination,0
Arizona,AZ,Foster Care Non Discrimination,FALSE
Arizona,AZ,Adoption Nondiscrimination,FALSE
Arizona,AZ,Recognition of assisted Reproduction,FALSE
Arizona,AZ,VAP for Non-Genetic LGBTQ Parents,FALSE
Arizona,AZ,Gender Inclusive Bathroom Laws (Adult),FALSE
Arizona,AZ,Gay/ Trans Panic Defense Ban,FALSE
Arizona,AZ,Hate Crime Laws Specific to Gender Identity,FALSE
Arizona,AZ,Jury Service Nondiscrimination Based on Gender Identity,FALSE
Arizona,AZ,Gender Inclusive Correctional Housing ,FALSE
Arizona,AZ,Gender Affirming Care in Correctional Facilities,FALSE
Arizona,AZ,Trans Bathroom Ban in Schools and Government Buildings,0
Arizona,AZ,State Defines Sex,0
Arizona,AZ,Broad ‘RFRA’,-1
Arizona,AZ,Religious Exemption for Medical Professionals,0
Arizona,AZ,Marriage Services and/or Marriage License Denial,0
Arizona,AZ,Drag Ban,0
Arizona,AZ,Barriers to Identity Documents,0
Arizona,AZ,Abortion Access,0.5
Arizona,AZ,Interstate Abortion Shield Law,FALSE
Arkansas,AR,Shield Law,TRUE
Arkansas,AR,Gender Marker on ID (adult),1
Arkansas,AR,Gender Marker options on ID,TRUE
Arkansas,AR,Gender Marker on Birth Certificate (adult),-1
Arkansas,AR,Gender Marker options on Birth Certificate,FALSE
