State Name,State Code,Indicator Name,Value
Alabama,AL,Shield Law,FALSE
Alabama,AL,Gender Marker on ID (minor),0
Alabama,AL,Gender Marker options on ID,FALSE
Alabama,AL,Gender Marker on Birth Certificate (minor),-1
Alabama,AL,Gender Marker options on Birth Certificate,FALSE
Alabama,AL,Name Change (minor),0
Alabama,AL,Non-discrimination,-1
Alabama,AL,Child Welfare Non Discrimination for LGBTQ Youth,FALSE
Alabama,AL,Gender Inclusive Bathroom Laws (minor),FALSE
Alabama,AL,LGBTQ Inclusive Curriculum,FALSE
Alabama,AL,Anti-Bullying Legal Protections for TGNC* students,0
Alabama,AL,Non-discrimination  Protections for LGBTQ Students,0
Alabama,AL,Gay/ Trans Panic Defense Ban,FALSE
Alabama,AL,Hate Crime Laws Specific to Gender Identity,FALSE
Alabama,AL,Jury Service Nondiscrimination Based on Gender Identity,FALSE
Alabama,AL,Gender Inclusive Correctional Housing ,FALSE
Alabama,AL,Gender Affirming Care in Correctional Facilities,FALSE
Alabama,AL,Trans Bathroom Ban K-12,-1
Alabama,AL,Trans Bathroom Ban in Schools and Government Buildings,0
Alabama,AL,State Defines Sex,0
Alabama,AL,Broad ‘RFRA’,-1
Alabama,AL,Religious Exemption for Child Welfare,-1
Alabama,AL,Religious Exemption for Medical Professionals,-1
Alabama,AL,Marriage Services and/or Marriage License Denial,0
Alabama,AL,Drag Ban,0
Alabama,AL,Don’t Say Gay,-1
Alabama,AL,Specific Subject Restrictions,0
Alabama,AL,Parental Notification (opt-in or opt-out),0
Alabama,AL,Sports Ban,-1
Alabama,AL,Forced Outing in Schools,-1
Alabama,AL,Ban on Best Practice Medical Care for Trans Youth,-1
Alabama,AL,Barriers to Identity Documents,0
Alabama,AL,Abortion Access,-1
Alabama,AL,Interstate Abortion Shield Law,FALSE
Alaska,AK,Shield Law,FALSE
Alaska,AK,Gender Marker on ID (minor),0.5
Alaska,AK,Gender Marker options on ID,FALSE
Alaska,AK,Gender Marker on Birth Certificate (minor),0.5
Alaska,AK,Gender Marker options on Birth Certificate,FALSE
Alaska,AK,Name Change (minor),0
Alaska,AK,Non-discrimination,0.5
Alaska,AK,Child Welfare Non Discrimination for LGBTQ Youth,FALSE
Alaska,AK,Gender Inclusive Bathroom Laws (minor),TRUE
Alaska,AK,LGBTQ Inclusive Curriculum,FALSE
Alaska,AK,Anti-Bullying Legal Protections for TGNC* students,0
Alaska,AK,Non-discrimination  Protections for LGBTQ Students,0
Alaska,AK,Gay/ Trans Panic Defense Ban,FALSE
Alaska,AK,Hate Crime Laws Specific to Gender Identity,FALSE
Alaska,AK,Jury Service Nondiscrimination Based on Gender Identity,FALSE
Alaska,AK,Gender Inclusive Correctional Housing ,FALSE
Alaska,AK,Gender Affirming Care in Correctional Facilities,FALSE
Alaska,AK,Trans Bathroom Ban K-12,0
Alaska,AK,Trans Bathroom Ban in Schools and Government Buildings,0
Alaska,AK,State Defines Sex,0
Alaska,AK,Broad ‘RFRA’,0
Alaska,AK,Religious Exemption for Child Welfare,0
Alaska,AK,Religious Exemption for Medical Professionals,0
Alaska,AK,Marriage Services and/or Marriage License Denial,0
Alaska,AK,Drag Ban,0
Alaska,AK,Don’t Say Gay,0
Alaska,AK,Specific Subject Restrictions,0
Alaska,AK,Parental Notification (opt-in or opt-out),0
Alaska,AK,Sports Ban,-1
Alaska,AK,Forced Outing in Schools,0
Alaska,AK,Ban on Best Practice Medical Care for Trans Youth,0
Alaska,AK,Barriers to Identity Documents,0
Alaska,AK,Abortion Access,0.5
Alaska,AK,Interstate Abortion Shield Law,FALSE
Arizona,AZ,Shield Law,TRUE
Arizona,AZ,Gender Marker on ID (minor),0
Arizona,AZ,Gender Marker options on ID,FALSE
Arizona,AZ,Gender Marker on Birth Certificate (minor),-1
Arizona,AZ,Gender Marker options on Birth Certificate,FALSE
Arizona,AZ,Name Change (minor),0.5
Arizona,AZ,Non-discrimination,0
Arizona,AZ,Child Welfare Non Discrimination for LGBTQ Youth,TRUE
Arizona,AZ,Gender Inclusive Bathroom Laws (minor),FALSE
Arizona,AZ,LGBTQ Inclusive Curriculum,FALSE
Arizona,AZ,Anti-Bullying Legal Protections for TGNC* students,0
Arizona,AZ,Non-discrimination  Protections for LGBTQ Students,0
Arizona,AZ,Gay/ Trans Panic Defense Ban,FALSE
Arizona,AZ,Hate Crime Laws Specific to Gender Identity,FALSE
Arizona,AZ,Jury Service Nondiscrimination Based on Gender Identity,FALSE
Arizona,AZ,Gender Inclusive Correctional Housing ,FALSE
Arizona,AZ,Gender Affirming Care in Correctional Facilities,FALSE
Arizona,AZ,Trans Bathroom Ban K-12,0
Arizona,AZ,Trans Bathroom Ban in Schools and Government Buildings,0
Arizona,AZ,State Defines Sex,0
Arizona,AZ,Broad ‘RFRA’,-1
Arizona,AZ,Religious Exemption for Child Welfare,-1
Arizona,AZ,Religious Exemption for Medical Professionals,0
Arizona,AZ,Marriage Services and/or Marriage License Denial,0
Arizona,AZ,Drag Ban,0
Arizona,AZ,Don’t Say Gay,0
Arizona,AZ,Specific Subject Restrictions,0
Arizona,AZ,Parental Notification (opt-in or opt-out),-1
Arizona,AZ,Sports Ban,-1
Arizona,AZ,Forced Outing in Schools,-0.5
Arizona,AZ,Ban on Best Practice Medical Care for Trans Youth,-1
Arizona,AZ,Barriers to Identity Documents,0
Arizona,AZ,Abortion Access,0.5
Arizona,AZ,Interstate Abortion Shield Law,FALSE
Arkansas,AR,Shield Law,FALSE
Arkansas,AR,Gender Marker on ID (minor),1
Arkansas,AR,Gender Marker options on ID,TRUE
Arkansas,AR,Gender Marker on Birth Certificate (minor),-1
Arkansas,AR,Gender Marker options on Birth Certificate,FALSE
Arkansas,AR,Name Change (minor),1
Arkansas,AR,Non-discrimination,-1
Arkansas,AR,Child Welfare Non Discrimination for LGBTQ Youth,FALSE
Arkansas,AR,Gender Inclusive Bathroom Laws (minor),FALSE
Arkansas,AR,LGBTQ Inclusive Curriculum,FALSE
Arkansas,AR,Anti-Bullying Legal Protections for TGNC* students,1
Arkansas,AR,Non-discrimination  Protections for LGBTQ Students,0
Arkansas,AR,Gay/ Trans Panic Defense Ban,FALSE
Arkansas,AR,Hate Crime Laws Specific to Gender Identity,FALSE
Arkansas,AR,Jury Service Nondiscrimination Based on Gender Identity,FALSE
Arkansas,AR,Gender Inclusive Correctional Housing ,FALSE
Arkansas,AR,Gender Affirming Care in Correctional Facilities,FALSE
Arkansas,AR,Trans Bathroom Ban K-12,-1
Arkansas,AR,Trans Bathroom Ban in Schools and Government Buildings,0
Arkansas,AR,State Defines Sex,0
Arkansas,AR,Broad ‘RFRA’,-1
Arkansas,AR,Religious Exemption for Child Welfare,0
Arkansas,AR,Religious Exemption for Medical Professionals,-1
Arkansas,AR,Marriage Services and/or Marriage License Denial,0
Arkansas,AR,Drag Ban,0
Arkansas,AR,Don’t Say Gay,-1
Arkansas,AR,Specific Subject Restrictions,0
Arkansas,AR,Parental Notification (opt-in or opt-out),-1
Arkansas,AR,Sports Ban,-1
Arkansas,AR,Forced Outing in Schools,0
Arkansas,AR,Ban on Best Practice Medical Care for Trans Youth,-1
Arkansas,AR,Barriers to Identity Documents,0
Arkansas,AR,Abortion Access,-1
Arkansas,AR,Interstate Abortion Shield Law,FALSE
California,CA,Shield Law,TRUE
California,CA,Gender Marker on ID (minor),1
California,CA,Gender Marker options on ID,TRUE
California,CA,Gender Marker on Birth Certificate (minor),1
California,CA,Gender Marker options on Birth Certificate,TRUE
California,CA,Name Change (minor),1
California,CA,Non-discrimination,1
California,CA,Child Welfare Non Discrimination for LGBTQ Youth,TRUE
California,CA,Gender Inclusive Bathroom Laws (minor),TRUE
California,CA,LGBTQ Inclusive Curriculum,TRUE
California,CA,Anti-Bullying Legal Protections for TGNC* students,1
California,CA,Non-discrimination  Protections for LGBTQ Students,1
California,CA,Gay/ Trans Panic Defense Ban,TRUE
California,CA,Hate Crime Laws Specific to Gender Identity,TRUE
California,CA,Jury Service Nondiscrimination Based on Gender Identity,TRUE
California,CA,Gender Inclusive Correctional Housing ,TRUE
California,CA,Gender Affirming Care in Correctional Facilities,TRUE
California,CA,Trans Bathroom Ban K-12,0
California,CA,Trans Bathroom Ban in Schools and Government Buildings,0
California,CA,State Defines Sex,0
California,CA,Broad ‘RFRA’,0
California,CA,Religious Exemption for Child Welfare,0
California,CA,Religious Exemption for Medical Professionals,0
California,CA,Marriage Services and/or Marriage License Denial,0
California,CA,Drag Ban,0
California,CA,Don’t Say Gay,0
California,CA,Specific Subject Restrictions,0
California,CA,Parental Notification (opt-in or opt-out),0
California,CA,Sports Ban,0
California,CA,Forced Outing in Schools,0
California,CA,Ban on Best Practice Medical Care for Trans Youth,0
California,CA,Barriers to Identity Documents,0
California,CA,Abortion Access,1
California,CA,Interstate Abortion Shield Law,TRUE
Colorado,CO,Shield Law,TRUE
Colorado,CO,Gender Marker on ID (minor),0.5
Colorado,CO,Gender Marker options on ID,TRUE
Colorado,CO,Gender Marker on Birth Certificate (minor),0.5
Colorado,CO,Gender Marker options on Birth Certificate,TRUE
Colorado,CO,Name Change (minor),1
Colorado,CO,Non-discrimination,1
Colorado,CO,Child Welfare Non Discrimination for LGBTQ Youth,TRUE
Colorado,CO,Gender Inclusive Bathroom Laws (minor),TRUE
Colorado,CO,LGBTQ Inclusive Curriculum,TRUE
Colorado,CO,Anti-Bullying Legal Protections for TGNC* students,1
Colorado,CO,Non-discrimination  Protections for LGBTQ Students,1
Colorado,CO,Gay/ Trans Panic Defense Ban,TRUE
Colorado,CO,Hate Crime Laws Specific to Gender Identity,TRUE
Colorado,CO,Jury Service Nondiscrimination Based on Gender Identity,TRUE
Colorado,CO,Gender Inclusive Correctional Housing ,FALSE
Colorado,CO,Gender Affirming Care in Correctional Facilities,FALSE
Colorado,CO,Trans Bathroom Ban K-12,0
Colorado,CO,Trans Bathroom Ban in Schools and Government Buildings,0
Colorado,CO,State Defines Sex,0
Colorado,CO,Broad ‘RFRA’,0
Colorado,CO,Religious Exemption for Child Welfare,0
Colorado,CO,Religious Exemption for Medical Professionals,0
Colorado,CO,Marriage Services and/or Marriage License Denial,0
Colorado,CO,Drag Ban,0
Colorado,CO,Don’t Say Gay,0
Colorado,CO,Specific Subject Restrictions,0
Colorado,CO,Parental Notification (opt-in or opt-out),0
Colorado,CO,Sports Ban,0
Colorado,CO,Forced Outing in Schools,0
Colorado,CO,Ban on Best Practice Medical Care for Trans Youth,0
Colorado,CO,Barriers to Identity Documents,0
Colorado,CO,Abortion Access,0.5
Colorado,CO,Interstate Abortion Shield Law,TRUE
Connecticut,CT,Shield Law,TRUE
Connecticut,CT,Gender Marker on ID (minor),1
Connecticut,CT,Gender Marker options on ID,TRUE
Connecticut,CT,Gender Marker on Birth Certificate (minor),0.5
