Resource Name,Service Category,Link,city,state,country,Contact,,,,Resource Name,
Minnesota Two Spirit Society,TPOC Resources and Services,[https://mn2ss.wordpress.com/](https://mn2ss.wordpress.com/),,MN,,mn2spirit@gmail.com,,,,,
MN Deaf Queers,Disability Group,[https://www.mndeafqueers.org/](https://www.mndeafqueers.org/),,MN,,mndeafqueers@gmail.com,,,,,
MN Trans and Intersex Resource Network,Resource List,[https://mntirnetwork.org/](https://mntirnetwork.org/),,MN,,,,,,,
NCTE- MN,Identity Documents,[https://transequality.org/documents/state/minnesota](https://transequality.org/documents/state/minnesota),,MN,,,,,,,
Our Space,Support and Advocacy,[https://www.ourspacemn.com/](https://www.ourspacemn.com/),,MN,,rox@ourspacemn.com,,,,,
OutFront MN,Support and Advocacy,[https://www.outfront.org/](https://www.outfront.org/),,MN,,,,,,,
OutFront MN - Youth Organizations,Resource List,[https://www.outfront.org/youth-organizations](https://www.outfront.org/youth-organizations),,MN,,,,,,,
TIGERRS,Support and Advocacy,[https://tigerrs.org/](https://tigerrs.org/),,MN,USA,"Youth programs: programs@tigerrs.org General Events/ connecting/ resource sharing: admin@tigerrs.org""",,,,,
Transforming Families - Online,Youth and Family Support and Services,[https://tffmn.org/](https://tffmn.org/),,MN,,info@tffmn.org,,,,,
Twin Cities Mutual Aid,Mutual Aid,[Twin Cities Mutual Aid- Instagram](https://www.instagram.com/tctransmutualaid?igshid=MzRlODBiNWFlZA%3D%3D),Twin Cities Metro,MN,USA,,,,,,
