State,State Code,Shield Law,Gender Marker on ID (adult),Gender Marker on ID (minor),Gender Marker Options on ID,Gender Marker on Birth Certificate (adult),Gender Marker on Birth Certificate (minor),Gender Marker options on Birth Certificate,Name Change (adult),Name Change (minor),Non-Discrimination,Foster Care Non-Discrimination,Adoption Non-Discrimination,Child Welfare Non-Discrimination for LGBTQ Youth,Recognition of Assisted-Reproduction,VAP for Non-Genetic LGBTQ Parents,Gender Inclusive Bathroom Laws (Adult),Gender Inclusive Bathroom Laws (minor),LGBTQ Inclusive Curriculum,Anti-Bullying Legal Protections for TGNC* students,Non-Discrimination  Protections for LGBTQ Students,Gay/ Trans Panic Defense Ban,Hate Crime Laws Specific to Gender Identity,Jury Service Non-Discrimination Based on Gender Identity,Gender Inclusive Correctional Housing ,Gender Affirming Care in Correctional Facilities,Trans Bathroom Ban K-12,Trans Bathroom Ban in Schools and Government Buildings,State Defines Sex,Broad ‘RFRA’,Religious Exemption for Child Welfare,Religious Exemption for Medical Professionals,Marriage Services and/or Marriage License Denial,Drag Ban,Don’t Say Gay,Specific Subject Restrictions,Parental Notification (opt-in or opt-out),Sports Ban,Forced Outing in Schools,Ban on Best Practice Medical Care for Trans Youth,Barriers to Identity Documents,Abortion Access,Interstate Abortion Shield Law
Alabama,AL,FALSE,0,0,FALSE,-1,-1,FALSE,1,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,-1,FALSE
Alaska,AK,FALSE,0.5,0.5,FALSE,0.5,0.5,FALSE,0,0,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.5,FALSE
Arizona,AZ,TRUE,0,0,FALSE,-1,-1,FALSE,0.5,0.5,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-0.5,-1,0,0.5,FALSE
Arkansas,AR,TRUE,1,1,TRUE,-1,-1,FALSE,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,FALSE
California,CA,TRUE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Colorado,CO,TRUE,1,0.5,TRUE,1,0.5,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,TRUE
Connecticut,CT,TRUE,1,1,TRUE,0.5,0.5,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Delaware,DE,FALSE,0.5,0.5,FALSE,0.5,0.5,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,TRUE
Florida,FL,FALSE,-1,-1,FALSE,0.5,0.5,FALSE,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,-1,0,-1,0,-1,0,0,-1,0,-1,-1,0.5,-1,-1,0.5,FALSE
Georgia,GA,FALSE,-1,-1,FALSE,-1,-1,FALSE,-1,-1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.5,FALSE
Hawai‘i,HI,FALSE,1,1,TRUE,0.5,0.5,FALSE,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Idaho,ID,FALSE,0,0,FALSE,1,1,FALSE,-1,-1,-1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,-1,0,0,0,0,0,0,0,-1,-0.5,-1,0,-1,FALSE
Illinois,IL,TRUE,1,1,TRUE,1,1,TRUE,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,TRUE
